Series Name,country,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Contraceptive prevalence, any method (% of married women ages 15-49)",Mexico,..,..,..,72.3,66.9,..,..,73.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",United States,70.7,..,..,72.7,..,75.9,..,73.9,..,..,..,..
Births attended by skilled health staff (% of total),Canada,..,99.3,98,97.9,97.9,97.8,97.9,98,98,98,..,..
Births attended by skilled health staff (% of total),Mexico,83.8,88.6,96.1,95.6,97.7,98,96.6,..,..,..,..,..
Births attended by skilled health staff (% of total),United States,99.2,99.4,99.2,98.5,99.1,99.1,99.1,99.1,99,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",Canada,8.2,6.2,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,..
"Mortality rate, under-5 (per 1,000 live births)",Mexico,45.4,28.3,17.3,16.8,16.2,15.7,15.2,14.7,14.2,13.7,13.2,..
"Mortality rate, under-5 (per 1,000 live births)",United States,11.2,8.4,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,..
"Prevalence of underweight, weight for age (% of children under 5)",Canada,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",Mexico,..,..,..,..,3.9,4.2,..,..,4.7,4.6,4.2,..
"Prevalence of underweight, weight for age (% of children under 5)",United States,..,1.1,..,0.7,..,1.4,..,0.4,..,..,..,..
"Immunization, measles (% of children ages 12-23 months)",Canada,89,96,90,90,89,89,90,90,90,90,90,..
"Immunization, measles (% of children ages 12-23 months)",Mexico,75,96,89,97,97,96,76,97,73,92,99,..
"Immunization, measles (% of children ages 12-23 months)",United States,90,91,92,92,92,92,91,92,90,91,91,..
"Primary completion rate, total (% of relevant age group)",Canada,..,97.81784058,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",Mexico,88.7490387,96.64557648,109.4250412,110.5088425,104.9098206,103.9693909,104.0978394,102.2558899,102.465538,102.6626282,..,..
"Primary completion rate, total (% of relevant age group)",United States,..,..,..,..,..,..,98.8321991,100.0926971,100.4890518,100.9236679,..,..
"School enrollment, primary (% gross)",Canada,104.2817764,100.7887726,100.3407135,101.5366592,102.4850769,101.0238724,100.9436798,101.501091,100.9897537,101.8486176,..,..
"School enrollment, primary (% gross)",Mexico,112.2526321,108.9979324,109.4414825,108.0057526,106.6061096,106.2777328,105.7700119,105.0280685,104.6558228,103.6920471,..,..
"School enrollment, primary (% gross)",United States,106.0332336,..,99.45543671,99.67337799,100.2999115,101.3628616,101.8214417,101.2565613,100.9813004,100.3057938,..,..
"School enrollment, secondary (% gross)",Canada,99.80230713,101.9231262,109.4859924,109.3330994,110.3565292,112.5142822,113.7628632,114.1235123,114.3332672,114.8661575,..,..
"School enrollment, secondary (% gross)",Mexico,56.10926056,71.76502991,93.3275528,97.34338379,100.8327408,102.4040604,104.3850327,105.103363,104.6472397,101.8352966,..,..
"School enrollment, secondary (% gross)",United States,91.48178101,..,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,100.0634308,100.509819,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",Canada,1.000229955,1.010570049,1.006389976,1.008569956,1.00838995,1.008180022,1.005460024,1.003329992,1.001510024,1.002589941,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",Mexico,0.962310016,0.989459991,1.020799994,1.022830009,1.029829979,1.036380053,1.03918004,1.046270013,1.051910043,1.054100037,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",United States,0.997739971,..,0.997099996,1.004230022,1.005079985,0.996259987,0.993629992,0.994700015,0.994910002,0.986829996,..,..
"Prevalence of HIV, total (% of population ages 15-49)",Canada,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of HIV, total (% of population ages 15-49)",Mexico,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,..
"Prevalence of HIV, total (% of population ages 15-49)",United States,..,..,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..,..,..
Forest area (sq. km),Canada,3482729.3,3478019.7,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281,3468911.133,..
Forest area (sq. km),Mexico,705916.5,683813.5,665758.7,664533.9,663309.1,662031.5,660753.8,659476.1,658198.5,656920.8,655643.167,..
Forest area (sq. km),United States,3024500,3035360,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950,3097950,..
Terrestrial and marine protected areas (% of total territorial area),Canada,..,..,..,..,..,6.477119482,6.477193623,6.477193623,7.836060414,9.496618592,10.79983563,11.38111687
Terrestrial and marine protected areas (% of total territorial area),Mexico,..,..,..,..,..,6.75214757,19.05623992,19.05623992,18.90985098,18.90984895,18.90984895,18.95103031
Terrestrial and marine protected areas (% of total territorial area),United States,..,..,..,..,..,26.32619972,26.3280836,26.3280836,26.32811592,23.9458353,15.88327447,15.88333716
"Annual freshwater withdrawals, total (% of internal resources)",Canada,1.561814035,1.469684848,1.308070175,1.280877193,1.253684211,1.262859649,1.272035088,1.272035088,1.272035088,1.272035088,..,..
"Annual freshwater withdrawals, total (% of internal resources)",Mexico,15.1761439,16.66769123,19.96332518,20.76528117,20.94376528,21.16797066,21.47677262,21.72127139,21.84621027,21.89437653,..,..
"Annual freshwater withdrawals, total (% of internal resources)",United States,16.5046132,16.80269695,15.40658861,15.58825016,15.7699117,15.7699117,15.7699117,15.7699117,15.7699117,15.7699117,..,..
Urban population growth (annual %),Canada,1.533778783,1.404225954,1.107109995,1.05460142,0.796807975,1.182792155,1.261000552,1.487415579,1.523308331,1.171930462,0.686929106,1.944541562
Urban population growth (annual %),Mexico,2.486373511,1.961319696,1.69143612,1.614346091,1.535980297,1.500848677,1.444185541,1.312866879,1.21892136,1.083378227,0.911823977,0.978542829
Urban population growth (annual %),United States,1.410256285,1.512011391,0.914510414,0.959430782,0.966674782,0.958268061,0.87178526,0.76743743,0.701867775,1.212647657,0.409258906,0.631847364
Energy use (kg of oil equivalent per capita),Canada,7630.092306,8265.079925,7743.725742,7897.855615,7631.34157,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),Mexico,1513.463182,1532.540881,1637.790788,1582.906623,1559.118998,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),United States,7671.773066,8056.86385,6905.598633,6960.683997,6803.996607,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),Canada,15.14896932,16.75746674,15.84080976,15.85217722,15.64990728,15.42182253,15.54719472,15.63665416,15.05274694,13.59937492,..,..
CO2 emissions (metric tons per capita),Mexico,3.29875169,3.874145961,4.056055227,3.892355248,3.925368326,3.920323024,3.862759412,3.587489305,3.612165141,3.040766375,..,..
CO2 emissions (metric tons per capita),United States,19.40733586,20.46979674,16.11117526,16.04091676,15.56001544,15.14988272,14.82324544,15.2225181,14.67338071,13.03282795,..,..
Electric power consumption (kWh per capita),Canada,16167.37456,17037.07228,15750.81163,15588.48715,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Mexico,1217.272137,1819.349523,2172.175888,2186.375822,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),United States,11713.3317,13671.05202,13004.02357,12993.96558,..,..,..,..,..,..,..,..
GDP (current US$),Canada,5.96E+11,7.45E+11,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12,2.00E+12,2.14E+12
GDP (current US$),Mexico,2.61E+11,7.08E+11,1.27E+12,1.32E+12,1.17E+12,1.08E+12,1.16E+12,1.22E+12,1.27E+12,1.09E+12,1.27E+12,1.41E+12
GDP (current US$),United States,5.96E+12,1.03E+13,1.68E+13,1.76E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13,2.11E+13,2.33E+13,2.55E+13
GDP growth (annual %),Canada,0.164672497,5.177635668,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.888223585,-5.074357568,5.011800875,3.396202279
GDP growth (annual %),Mexico,5.208432226,4.942453715,1.354091962,2.849773255,3.293151528,2.630532425,2.113129135,2.194994725,-0.199047772,-7.98791234,4.720565298,3.06238019
GDP growth (annual %),United States,1.885964957,4.077159479,1.841875395,2.287775933,2.706369582,1.667472076,2.241921216,2.945384831,2.294439078,-2.767802511,5.945484761,2.061593119
"Inflation, GDP deflator (annual %)",Canada,3.391795161,4.335401201,1.737448,1.944598697,-0.876717545,0.75403003,2.56499684,1.61741439,1.566211232,0.615457491,8.153339243,7.332574831
"Inflation, GDP deflator (annual %)",Mexico,28.15657967,11.15220612,1.529730821,4.439719163,2.835086218,5.605277513,6.71270643,4.946411123,4.123807809,4.167274101,5.164095655,7.032230578
"Inflation, GDP deflator (annual %)",United States,3.74332974,2.26554767,1.750949779,1.869891372,1.000541633,1.00223548,1.89961014,2.404058593,1.793930501,1.304912071,4.492792236,7.005275556
"Agriculture, forestry, and fishing, value added (% of GDP)",Canada,..,2.091653007,1.894231512,1.586548077,1.869835946,1.862225893,1.889994632,1.699891576,1.697079353,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",Mexico,6.667096379,3.323086312,3.138783695,3.132089402,3.191923657,3.34646442,3.381073882,3.383800383,3.39122456,3.795554611,3.889201203,4.149909258
"Agriculture, forestry, and fishing, value added (% of GDP)",United States,..,1.150555364,1.321084164,1.172065105,1.033933783,0.942644553,0.946868678,0.903900643,0.838812891,0.948847432,0.959566657,..
"Industry (including construction), value added (% of GDP)",Canada,..,29.50003752,26.61323518,27.13794246,24.41568255,23.29530055,24.02780289,24.62230596,24.07740788,..,..,..
"Industry (including construction), value added (% of GDP)",Mexico,26.14692975,34.20970569,31.85631756,31.49018715,29.98530327,29.63995531,30.94623498,31.14884669,30.7788972,29.79674163,30.83440299,32.13003972
"Industry (including construction), value added (% of GDP)",United States,..,22.45158608,19.24162602,19.33151521,18.58713204,18.04222128,18.43542408,18.63089824,18.28042804,17.50842848,17.88465336,..
Exports of goods and services (% of GDP),Canada,25.07429896,44.20923582,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582,29.68084533,30.91398771,33.71848743
Exports of goods and services (% of GDP),Mexico,18.70447105,25.40671694,31.30565295,31.87344131,34.52488584,37.04217108,37.65156846,39.25755173,38.82128516,39.49276867,41.10186896,43.35409346
Exports of goods and services (% of GDP),United States,9.254732068,10.69277691,13.57807437,13.54595934,12.46099316,11.93953873,12.26173812,12.36098922,11.87247011,10.20212574,10.89272668,..
Imports of goods and services (% of GDP),Canada,24.92016546,38.55612203,31.89913623,32.64208628,34.3149411,33.86111211,33.6466507,34.27448212,33.81878946,31.9210782,30.95542828,33.5439527
Imports of goods and services (% of GDP),Mexico,19.81522536,27.02596481,32.45922366,33.05191659,36.56420427,39.02003805,39.46417605,41.3018325,39.07606179,37.445845,42.84003465,46.12696351
Imports of goods and services (% of GDP),United States,10.56031852,14.41021845,16.42429277,16.45204044,15.35124034,14.64746063,15.0174229,15.24939006,14.57947936,13.18163614,14.58867359,..
Gross capital formation (% of GDP),Canada,21.30421092,20.61446771,24.90767507,24.87070761,23.82159339,22.76112016,23.55046923,23.37731116,23.04242417,22.25692306,23.80537596,24.54437315
Gross capital formation (% of GDP),Mexico,23.27060354,22.95818123,22.49338333,21.87150179,23.3130633,23.62131194,22.90497229,22.71140714,21.16019805,18.76952214,20.73438194,21.61157734
Gross capital formation (% of GDP),United States,21.52921345,23.6783759,20.34303358,20.7783685,21.20047568,20.5667783,20.81343098,21.20591656,21.31923246,21.05096059,21.10431481,..
"Revenue, excluding grants (% of GDP)",Canada,19.69429232,20.86174115,16.95261766,16.97922249,17.8509095,17.86507551,18.0104464,18.52919391,18.27760904,19.13018214,19.13327048,..
"Revenue, excluding grants (% of GDP)",Mexico,15.41572106,12.1102239,18.8045337,18.34957805,19.01749403,19.79199352,19.98067889,18.84261143,19.031346,19.16684243,18.97329798,..
"Revenue, excluding grants (% of GDP)",United States,18.20583236,20.57614574,18.8018464,18.91259579,19.09205998,18.66564488,19.37213844,17.59799598,17.42469511,17.80025544,18.6563207,..
Time required to start a business (days),Canada,..,..,5.5,5.5,1.5,1.5,1.5,1.5,1.5,..,..,..
Time required to start a business (days),Mexico,..,..,8.4,8.4,8.4,8.4,8.4,8.4,8.4,..,..,..
Time required to start a business (days),United States,..,..,6.2,5.6,5.6,5.6,5.6,5.6,4.2,..,..,..
Domestic credit provided by financial sector (% of GDP),Canada,100.2248739,110.691796,..,..,..,..,..,..,..,..,..,..
Domestic credit provided by financial sector (% of GDP),Mexico,..,28.00656199,48.47248136,49.02194137,52.47782056,54.71016445,54.79813015,54.41124612,58.2924929,63.32854823,62.59507557,61.02581652
Domestic credit provided by financial sector (% of GDP),United States,145.6212363,191.592504,230.1884099,232.8663286,227.4711987,232.8879906,242.1039505,229.5313464,242.8003724,280.713405,289.3109383,..
Tax revenue (% of GDP),Canada,14.11212924,14.85774318,11.6235046,11.80837908,12.38981091,12.49656263,12.61201668,13.05768467,12.7416889,13.56960575,13.25942833,..
Tax revenue (% of GDP),Mexico,11.84836466,9.572861438,10.29457862,10.62560505,12.78239352,13.53436035,13.03567268,13.06463778,13.14141546,14.28683963,13.87202981,..
Tax revenue (% of GDP),United States,10.46528476,12.97080036,10.48350933,10.93318083,11.22900841,10.91413748,11.58390417,9.994403994,9.960869832,10.13527017,11.2336202,..
Military expenditure (% of GDP),Canada,1.958793742,1.114349802,1.0023672,0.989925299,1.152709374,1.164161567,1.351896465,1.317678106,1.284512244,1.400835686,1.267294465,1.236655913
Military expenditure (% of GDP),Mexico,0.433081035,0.44604782,0.507919455,0.513829957,0.466676122,0.495064414,0.436510296,0.477494205,0.523424227,0.737796051,0.682059196,0.606752933
Military expenditure (% of GDP),United States,5.605175294,3.112242147,4.03266107,3.690960761,3.481428215,3.422587975,3.320540912,3.323866404,3.43456772,3.696009828,3.457977219,3.454919798
Mobile cellular subscriptions (per 100 people),Canada,2.110719507,28.44217078,80.8813881,81.31427412,83.30038912,85.15367591,86.70104032,89.67401709,91.59004081,85.40841921,88.09065504,91.23062536
Mobile cellular subscriptions (per 100 people),Mexico,0.078225239,14.38375898,91.01095461,88.37316756,89.62827659,91.94482417,93.07232465,96.89668563,97.561569,97.53972081,99.81384101,100.2881985
Mobile cellular subscriptions (per 100 people),United States,2.129545117,38.76720665,97.28308055,100.1748375,102.3083933,103.3702501,103.1297891,104.847944,106.4140195,104.9353748,107.319451,110.1664718
High-technology exports (% of manufactured exports),Canada,..,..,15.49184234,14.66524653,14.82804766,14.09887722,14.3483562,15.42187895,16.10018141,15.3336272,14.96785875,..
High-technology exports (% of manufactured exports),Mexico,..,..,20.51078069,20.19739103,19.5702756,20.63766375,21.16605033,20.88855295,20.40583358,21.50524939,19.80383459,..
High-technology exports (% of manufactured exports),United States,..,..,20.1783051,20.46714365,21.38094108,22.411343,19.25881837,18.47405364,18.67265174,19.48384869,19.8938692,..
Statistical Capacity Score (Overall Average) (scale 0 - 100),Canada,..,..,..,..,..,..,..,..,..,..,..,..
Statistical Capacity Score (Overall Average) (scale 0 - 100),Mexico,..,..,87.77777778,85.55555556,92.22223333,98.8889,93.33336667,90,93.33333333,80,..,..
Statistical Capacity Score (Overall Average) (scale 0 - 100),United States,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise trade (% of GDP),Canada,42.08649593,70.010689,50.58465852,52.69938054,53.97887832,52.54802114,52.40611196,53.40636997,52.29092339,49.24385693,50.54242814,55.10453992
Merchandise trade (% of GDP),Mexico,32.25179694,48.85240587,60.49540432,61.46571113,67.05794594,71.53221742,72.62087103,75.87890902,73.10598917,74.31800798,79.91742484,85.17380196
Merchandise trade (% of GDP),United States,15.2701159,19.9124803,23.2061312,22.97961652,20.97038696,19.79750231,20.30436241,20.83568431,19.6932356,18.19459083,20.11408019,21.36846053
Net barter terms of trade index (2015 = 100),Canada,..,97.14729381,112.7409865,111.952758,100,99.36964725,102.5126939,103.9633973,102.148313,96.87966071,110.9991407,..
Net barter terms of trade index (2015 = 100),Mexico,109.1888968,106.8901832,121.8948717,115.6566092,100,93.92888337,98.1160864,100.4576826,101.3974375,96.84205339,96.78760023,..
Net barter terms of trade index (2015 = 100),United States,102.7027027,100,95.34050179,95.86956522,100,100.0834725,99.594485,99.84264359,100.3187251,100,104.6546547,..
"External debt stocks, total (DOD, current US$)",Canada,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",Mexico,1.05E+11,1.78E+11,5.01E+11,5.36E+11,5.31E+11,5.44E+11,5.78E+11,6.06E+11,6.10E+11,6.05E+11,6.06E+11,..
"External debt stocks, total (DOD, current US$)",United States,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",Canada,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",Mexico,21.76715366,31.87210461,10.23264735,11.40344207,12.71427347,19.30061477,14.60039524,11.94705297,13.77989123,16.1346046,14.54965761,..
"Total debt service (% of exports of goods, services and primary income)",United States,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,Canada,145270,201617,242475,195649,232738,320494,361274,417974,391914,195181,195181,..
Net migration,Mexico,-286584,-356430,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649,..
Net migration,United States,1421775,1479676,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,..
"Personal remittances, received (current US$)",Canada,..,554559608.3,1336538606,1351304689,1274255368,1289324860,1268185480,1295567217,1311782569,821832443.7,831502696.7,861834226.6
"Personal remittances, received (current US$)",Mexico,3098000000,7524742980,23188811955,24802081325,26233171803,28690957406,32270507679,35768416627,39021789685,42878274907,54130298399,61099589343
"Personal remittances, received (current US$)",United States,1170000000,4395000000,6613000000,6503000000,6578000000,6330000000,6347000000,6941000000,7049000000,6827000000,7151000000,7431000000
"Foreign direct investment, net inflows (BoP, current US$)",Canada,8401707941,68303350856,67027866778,64174605786,59986208237,34201872161,25357801000,42603762049,48942300762,30384551083,64727018504,53705241568
"Foreign direct investment, net inflows (BoP, current US$)",Mexico,2634000000,18382284821,50927442383,28438242214,36249851967,38899042442,33113900058,37856647940,29906397517,31518884488,33477494833,38931993836
"Foreign direct investment, net inflows (BoP, current US$)",United States,71230000000,3.49E+11,2.88E+11,2.52E+11,5.11E+11,4.74E+11,3.81E+11,2.15E+11,3.16E+11,1.38E+11,4.93E+11,3.88E+11
Net official development assistance and official aid received (current US$),Canada,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),Mexico,178339996.3,-40459999.08,562390014.6,814890014.6,321070007.3,809340026.9,754609985.4,549210022,525039978,793729980.5,561229980.5,..
Net official development assistance and official aid received (current US$),United States,..,..,..,..,..,..,..,..,..,..,..,..
